"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
3603,875.015495901612,-1.63165162251383,0.123020062090849,-13.2632970166189,3.77908508601673e-40,7.24892391358617e-38
22806,512.662298638639,-2.24122303793299,0.169506637459663,-13.2220370336019,6.5466618812267e-40,1.24697885539058e-37
23052,2290.97513516291,-2.01043011921557,0.152151162353999,-13.2133733854629,7.34571383111177e-40,1.38946217591543e-37
27132,997.601858798016,4.84401241959158,0.367370021521296,13.1856497150538,1.06135640312009e-39,1.99373970401275e-37
140730,59.4385348136259,-4.59818623135093,0.349420610512045,-13.1594590960524,1.50156974578288e-39,2.80135320107082e-37
2674,276.501796664461,-3.45844247150254,0.263074848219558,-13.1462300364654,1.78872900008804e-39,3.31438098669375e-37
1215,132.133595301688,-4.83545884067578,0.36787920240099,-13.1441484300194,1.83863784438201e-39,3.38383902738359e-37
388335,314.553903602088,-1.95569473826384,0.148893248992133,-13.1348785220421,2.07824674917733e-39,3.79914664121424e-37
7148,2605.93256840968,-3.7946337625886,0.289770108309644,-13.0953250655299,3.50171910800828e-39,6.35865500426197e-37
22974,2264.98247370749,2.12987669690974,0.162709909853854,13.0900244417982,3.75486986008797e-39,6.77318842709113e-37
728192,29.5737474729157,6.66081100414934,0.509969040297187,13.0612066180875,5.48514368281908e-39,9.8292331337254e-37
9075,1522.58766422528,5.95930911392438,0.45639064295686,13.0574743498579,5.7607448828931e-39,1.02556319686433e-36
1114,474.718430823923,-4.24402404155741,0.326593784281307,-12.9948095947285,1.30933226994014e-38,2.31581768627465e-36
6332,224.463405221392,-5.20978763731992,0.401013400297068,-12.9915549791118,1.36622670063125e-38,2.40085695947058e-36
6338,4725.25320993402,-5.61190166328929,0.432238165844243,-12.9833552581554,1.52069930533851e-38,2.65517997941092e-36
9452,568.246564682023,-2.51250491464297,0.193556613285029,-12.980723685959,1.57386416024955e-38,2.73050394884569e-36
10808,2798.44121692005,1.98958622117744,0.153714316458658,12.9434021958036,2.56034839211358e-38,4.41384617116391e-36
9569,1427.23068897432,2.40836927961824,0.186626237019497,12.9047732949073,4.23058716014973e-38,7.2473417023999e-36
11072,209.579513862148,2.615107592339,0.202838703376318,12.8925473729109,4.95786688848365e-38,8.44014864428236e-36
4496,1096.07314619566,-4.47042917351729,0.346920712404261,-12.8860255778213,5.39534713624353e-38,9.12785498739138e-36
221150,409.685866424163,2.33237496953283,0.181228129547726,12.8698286262377,6.65496439981274e-38,1.11893777976605e-35
1610,85.4166843111527,-5.85183350071655,0.454927009680663,-12.8632360273009,7.24776657066084e-38,1.21113291933534e-35
58476,2025.88264731454,-2.00794165780543,0.156144896658401,-12.8594766833668,7.60900557588303e-38,1.26374447485306e-35
590,97.5743902483011,-4.47066419665602,0.347795655569663,-12.8542841897591,8.13756408988839e-38,1.34333921624473e-35
4320,2744.39841961336,3.63699865158893,0.282952196424462,12.8537565622321,8.19327408004262e-38,1.34438794814579e-35
9833,684.997294319974,2.13029078541503,0.166173454702231,12.819681634665,1.27221817584098e-37,2.07501069901537e-35
11065,1903.29517960545,2.3439974075983,0.183394989500963,12.7811420256168,2.08978246072715e-37,3.38818420626704e-35
27284,4633.16157864576,-2.77865849902232,0.217523705610103,-12.7740491144578,2.28928336985374e-37,3.68967458154297e-35
9378,102.813603279544,-5.64175422940166,0.442642509501914,-12.7456222759763,3.2974910578036e-37,5.28335655485027e-35
1836,16537.774912997,-4.78381458008102,0.375347318804777,-12.7450346396883,3.32243207142281e-37,5.29218741294822e-35
105376567,278.591489526387,-5.23360554864587,0.411004030818945,-12.7337085678154,3.84149852739585e-37,6.08341493541909e-35
1469,1123.34482645549,5.29771718856123,0.416301331476315,12.7256791847725,4.25756467853898e-37,6.70332639965576e-35
8607,2206.91014620108,1.35059864057389,0.106146803596838,12.7238748111877,4.35706069232648e-37,6.82055282399935e-35
56159,153.957040958409,-3.90502061372483,0.307450456498515,-12.7013004247847,5.81552443102176e-37,9.05161454012404e-35
28513,74.7340769976153,-4.28542888560476,0.337464502129157,-12.6989027247808,5.99645537357118e-37,9.28019610598476e-35
55248,237.381806732078,1.48404963846934,0.116946585799959,12.6899783205972,6.72043841252785e-37,1.03418814395725e-34
27299,4790.9649466046,-3.55333172212187,0.280314052931856,-12.6762525280375,8.0069375410423e-37,1.22524137496017e-34
2191,327.48277494412,3.88852601630085,0.306881210770446,12.6711114262696,8.54944012641318e-37,1.3009477662751e-34
107986554,251.03070639025,5.45712560357507,0.431263039861428,12.6538216799857,1.06562389925445e-36,1.61252576488293e-34
105374527,64.1864410257151,-5.22220805619605,0.413061243606283,-12.6426967841449,1.22769681661655e-36,1.8475141376244e-34
79801,276.704469655319,1.62644254316763,0.128727964202122,12.6347258985147,1.35866777464437e-36,2.0333732332837e-34
10382,49.5791486792237,-3.894267428561,0.309065950486646,-12.6001179438538,2.10829013523562e-36,3.13801129527584e-34
24147,194.620215884568,2.95840337171486,0.234824774661843,12.5983443440969,2.15623209954766e-36,3.19192662649343e-34
100506776,72.7083795826781,-2.00598733589896,0.159236000077719,-12.5975742603424,2.17738401790498e-36,3.20581545295654e-34
54821,175.965422742296,2.02693213502654,0.161032851987291,12.5870722030466,2.48728876311026e-36,3.64240706073103e-34
4857,117.207585216431,-4.14461199326312,0.329819046747711,-12.5663209391102,3.23427684566821e-36,4.71097501188827e-34
27306,119.084221191555,-2.48904678002113,0.198582339810535,-12.5340792257554,4.85972914904626e-36,7.04092034902777e-34
57214,1556.45768423109,4.23606008027543,0.338311020596758,12.5212003818359,5.7164018246573e-36,8.23827264021246e-34
